BUS UID,Fuel,GEN UID,Plant Code,Unit Type,CO2 Emissions Lbs/MWh
150488_1,NG (Natural Gas),55320_NaturalGasFiredCombinedCycle_ST1,55320,Natural Gas Fired Combined Cycle,853.3723845189640
250354_1,NG (Natural Gas),3507_NaturalGasSteamTurbine_6,3507,Natural Gas Steam Turbine,1475.9616189216300
111334_1,NG (Natural Gas),55327_NaturalGasFiredCombinedCycle_CTG1,55327,Natural Gas Fired Combined Cycle,946.3876846156430
111324_1,NG (Natural Gas),55299_NaturalGasFiredCombinedCycle_ST-1,55299,Natural Gas Fired Combined Cycle,1140.8149814586700
190185_1,WND (Wind),60657_OnshoreWindTurbine_GEN1,60657,Onshore Wind Turbine,0.0
140357_1,NG (Natural Gas),55154_NaturalGasFiredCombinedCycle_ST,55154,Natural Gas Fired Combined Cycle,853.0161777560590
111372_1,NG (Natural Gas),56806_NaturalGasFiredCombinedCycle_4,56806,Natural Gas Fired Combined Cycle,904.7856184821290
240248_1,WND (Wind),56638_OnshoreWindTurbine_GEN1,56638,Onshore Wind Turbine,0.0
111351_1,NG (Natural Gas),55464_NaturalGasFiredCombinedCycle_CTG4,55464,Natural Gas Fired Combined Cycle,1227.253239819680
240266_1,WND (Wind),56774_OnshoreWindTurbine_1,56774,Onshore Wind Turbine,0.0
140359_1,NG (Natural Gas),55154_NaturalGasFiredCombinedCycle_CTB,55154,Natural Gas Fired Combined Cycle,853.0161777560590
111215_1,NG (Natural Gas),3470_NaturalGasSteamTurbine_2,3470,Natural Gas Steam Turbine,1262.4217877233500
111214_1,NG (Natural Gas),3470_NaturalGasSteamTurbine_1,3470,Natural Gas Steam Turbine,1262.4217877233500
220159_1,WND (Wind),55992_OnshoreWindTurbine_1,55992,Onshore Wind Turbine,0.0
250348_1,NG (Natural Gas),3504_NaturalGasSteamTurbine_ST1,3504,Natural Gas Steam Turbine,1519.388611035810
111341_1,NG (Natural Gas),55357_NaturalGasFiredCombinedCycle_CTG2,55357,Natural Gas Fired Combined Cycle,870.7429128480550
190124_1,WND (Wind),57983_OnshoreWindTurbine_2,57983,Onshore Wind Turbine,0.0
111373_1,NG (Natural Gas),56806_NaturalGasFiredCombinedCycle_41,56806,Natural Gas Fired Combined Cycle,904.7856184821290
111315_1,NG (Natural Gas),55047_NaturalGasFiredCombinedCycle_STG2,55047,Natural Gas Fired Combined Cycle,887.6618692917330
111314_1,NG (Natural Gas),55047_NaturalGasFiredCombinedCycle_CTG3,55047,Natural Gas Fired Combined Cycle,887.6618692917330
150483_1,NG (Natural Gas),55230_NaturalGasFiredCombinedCycle_CT1,55230,Natural Gas Fired Combined Cycle,863.9534000626590
111313_1,NG (Natural Gas),55047_NaturalGasFiredCombinedCycle_CTG2,55047,Natural Gas Fired Combined Cycle,887.6618692917330
200192_1,WND (Wind),59118_OnshoreWindTurbine_CAM1,59118,Onshore Wind Turbine,0.0
120474_1,NG (Natural Gas),7512_NaturalGasFiredCombinedCycle_2,7512,Natural Gas Fired Combined Cycle,830.9255482066470
111320_1,NG (Natural Gas),55187_NaturalGasFiredCombinedCycle_GT3,55187,Natural Gas Fired Combined Cycle,1235.0748898652200
190190_1,WND (Wind),60856_OnshoreWindTurbine_ASTRA,60856,Onshore Wind Turbine,0.0
150462_1,NG (Natural Gas),54817_NaturalGasFiredCombinedCycle_GT-1,54817,Natural Gas Fired Combined Cycle,951.851679779604
160303_1,WND (Wind),61776_OnshoreWindTurbine_MIDWY,61776,Onshore Wind Turbine,0.0
240272_1,WND (Wind),56823_OnshoreWindTurbine_HWFG1,56823,Onshore Wind Turbine,0.0
111319_1,NG (Natural Gas),55187_NaturalGasFiredCombinedCycle_GT2,55187,Natural Gas Fired Combined Cycle,1235.0748898652200
220144_1,NG (Natural Gas),55215_NaturalGasFiredCombinedCycle_CTG1,55215,Natural Gas Fired Combined Cycle,830.6789607640070
140339_1,NG (Natural Gas),7900_NaturalGasFiredCombinedCycle_5A,7900,Natural Gas Fired Combined Cycle,967.9424243172340
190149_1,WND (Wind),58774_OnshoreWindTurbine_GEN1,58774,Onshore Wind Turbine,0.0
170555_1,NG (Natural Gas),55097_NaturalGasFiredCombinedCycle_CTG4,55097,Natural Gas Fired Combined Cycle,833.8917064786300
150502_1,WND (Wind),57974_OnshoreWindTurbine_GEN1,57974,Onshore Wind Turbine,0.0
270212_1,NG (Natural Gas),55144_NaturalGasFiredCombinedCycle_U1,55144,Natural Gas Fired Combined Cycle,895.7279129464840
190106_1,WND (Wind),56111_OnshoreWindTurbine_GEN1,56111,Onshore Wind Turbine,0.0
240296_1,WND (Wind),60743_OnshoreWindTurbine_WT1,60743,Onshore Wind Turbine,0.0
130365_1,NG (Natural Gas),55480_NaturalGasFiredCombinedCycle_U6,55480,Natural Gas Fired Combined Cycle,852.6020305821020
130363_1,NG (Natural Gas),55480_NaturalGasFiredCombinedCycle_U5,55480,Natural Gas Fired Combined Cycle,852.6020305821020
130362_1,NG (Natural Gas),55480_NaturalGasFiredCombinedCycle_U3,55480,Natural Gas Fired Combined Cycle,852.6020305821020
190198_1,WND (Wind),61417_OnshoreWindTurbine_GCWF,61417,Onshore Wind Turbine,0.0
120473_1,NG (Natural Gas),7512_NaturalGasFiredCombinedCycle_1,7512,Natural Gas Fired Combined Cycle,830.9255482066470
220219_1,SUN (Solar),59994_SolarPhotovoltaic_ROSEK,59994,Solar Photovoltaic,0.0
